time	V(input)	V(output1)	V(output2)
6.261528621692833e-003	1.985639e+000	9.928195e-001	1.588511e+000
6.283765935378475e-003	1.939832e+000	9.699160e-001	1.551866e+000
6.319822899468200e-003	1.779033e+000	8.895165e-001	1.423226e+000
6.369822899468199e-003	1.423744e+000	7.118721e-001	1.138995e+000
6.419822899468199e-003	9.418305e-001	4.709153e-001	7.534645e-001
6.469822899468199e-003	3.677239e-001	1.838619e-001	2.941791e-001
6.519822899468199e-003	-2.423781e-001	-1.211891e-001	-1.939025e-001
6.569822899468198e-003	-8.287545e-001	-4.143772e-001	-6.630036e-001
6.619822899468198e-003	-1.334007e+000	-6.670033e-001	-1.067205e+000
6.669822899468198e-003	-1.723013e+000	-8.615066e-001	-1.378411e+000
6.703670323853292e-003	-1.905346e+000	-9.526730e-001	-1.524277e+000
6.720322262384305e-003	-1.959752e+000	-9.798762e-001	-1.567802e+000
6.737600435882529e-003	-1.986190e+000	-9.930952e-001	-1.588952e+000
6.760383432704989e-003	-1.986102e+000	-9.930510e-001	-1.588882e+000
6.781902908680517e-003	-1.945548e+000	-9.727739e-001	-1.556438e+000
6.816814127672264e-003	-1.795516e+000	-8.977582e-001	-1.436413e+000
6.866814127672264e-003	-1.448707e+000	-7.243537e-001	-1.158966e+000
6.916814127672264e-003	-9.739623e-001	-4.869812e-001	-7.791699e-001
6.966814127672263e-003	-4.038791e-001	-2.019395e-001	-3.231033e-001
7.016814127672263e-003	2.057386e-001	1.028693e-001	1.645909e-001
7.066814127672263e-003	7.952173e-001	3.976086e-001	6.361738e-001
7.116814127672263e-003	1.306854e+000	6.534272e-001	1.045484e+000
7.166814127672262e-003	1.703168e+000	8.515840e-001	1.362534e+000
7.202514660039599e-003	1.900402e+000	9.502012e-001	1.520322e+000
7.219456112397090e-003	1.957675e+000	9.788373e-001	1.566140e+000
7.236553924824368e-003	1.984987e+000	9.924935e-001	1.587990e+000
7.259992296402830e-003	1.986250e+000	9.931249e-001	1.589000e+000
7.281266517586804e-003	1.947434e+000	9.737169e-001	1.557947e+000
7.315785728572968e-003	1.801007e+000	9.005036e-001	1.440806e+000
7.365785728572967e-003	1.457121e+000	7.285607e-001	1.165697e+000
7.415785728572967e-003	9.848657e-001	4.924329e-001	7.878926e-001
7.465785728572967e-003	4.162045e-001	2.081022e-001	3.329636e-001
7.515785728572966e-003	-1.931977e-001	-9.659887e-002	-1.545582e-001
7.565785728572966e-003	-7.836884e-001	-3.918442e-001	-6.269507e-001
7.615785728572966e-003	-1.297466e+000	-6.487331e-001	-1.037973e+000
7.665785728572966e-003	-1.696252e+000	-8.481261e-001	-1.357002e+000
7.702117990611417e-003	-1.898680e+000	-9.493402e-001	-1.518944e+000
7.719159035193508e-003	-1.956949e+000	-9.784744e-001	-1.565559e+000
7.736195352931961e-003	-1.985386e+000	-9.926929e-001	-1.588309e+000
7.757385480582424e-003	-1.989651e+000	-9.948257e-001	-1.591721e+000
7.777024249646621e-003	-1.959135e+000	-9.795673e-001	-1.567308e+000
7.808922611698037e-003	-1.835759e+000	-9.178795e-001	-1.468607e+000
7.858922611698037e-003	-1.511699e+000	-7.558496e-001	-1.209359e+000
7.908922611698037e-003	-1.056556e+000	-5.282779e-001	-8.452446e-001
7.958922611698036e-003	-4.979894e-001	-2.489947e-001	-3.983915e-001
8.008922611698036e-003	1.093237e-001	5.466183e-002	8.745893e-002
8.058922611698036e-003	7.059354e-001	3.529677e-001	5.647483e-001
8.108922611698035e-003	1.233445e+000	6.167226e-001	9.867561e-001
8.158922611698035e-003	1.648399e+000	8.241994e-001	1.318719e+000
8.199446701220584e-003	1.886757e+000	9.433784e-001	1.509405e+000
8.217161428774137e-003	1.951896e+000	9.759479e-001	1.561517e+000
8.233789257228065e-003	1.984421e+000	9.922107e-001	1.587537e+000
8.249770957790354e-003	1.995224e+000	9.976122e-001	1.596179e+000
8.264914869205317e-003	1.983999e+000	9.919995e-001	1.587199e+000
8.289272447324818e-003	1.921255e+000	9.606276e-001	1.537004e+000
8.328698404640789e-003	1.726823e+000	8.634116e-001	1.381459e+000
8.378698404640788e-003	1.347177e+000	6.735884e-001	1.077741e+000
8.428698404640788e-003	8.451290e-001	4.225645e-001	6.761032e-001
8.478698404640788e-003	2.603541e-001	1.301771e-001	2.082833e-001
8.528698404640787e-003	-3.499061e-001	-1.749530e-001	-2.799248e-001
8.578698404640787e-003	-9.259149e-001	-4.629575e-001	-7.407320e-001
8.628698404640787e-003	-1.411289e+000	-7.056444e-001	-1.129031e+000
8.678698404640787e-003	-1.778118e+000	-8.890588e-001	-1.422494e+000
8.707042667582415e-003	-1.919142e+000	-9.595712e-001	-1.535314e+000
8.722855056128881e-003	-1.965502e+000	-9.827512e-001	-1.572402e+000
8.740669446687371e-003	-1.989248e+000	-9.946241e-001	-1.591398e+000
8.761528648581728e-003	-1.985639e+000	-9.928195e-001	-1.588511e+000
8.783765979117855e-003	-1.939832e+000	-9.699160e-001	-1.551866e+000
8.819822970073660e-003	-1.779033e+000	-8.895163e-001	-1.423226e+000
8.869822970073660e-003	-1.423744e+000	-7.118719e-001	-1.138995e+000
8.919822970073659e-003	-9.418298e-001	-4.709149e-001	-7.534639e-001
8.969822970073659e-003	-3.677230e-001	-1.838615e-001	-2.941785e-001
9.019822970073659e-003	2.423790e-001	1.211895e-001	1.939032e-001
9.069822970073659e-003	8.287553e-001	4.143777e-001	6.630042e-001
9.119822970073658e-003	1.334007e+000	6.670036e-001	1.067206e+000
9.169822970073658e-003	1.723014e+000	8.615068e-001	1.378411e+000
9.203670350891095e-003	1.905346e+000	9.526731e-001	1.524277e+000
9.220322282659709e-003	1.959752e+000	9.798762e-001	1.567802e+000
9.237600460398362e-003	1.986190e+000	9.930952e-001	1.588952e+000
9.260383441863796e-003	1.986102e+000	9.930509e-001	1.588882e+000
9.281902923581728e-003	1.945548e+000	9.727738e-001	1.556438e+000
9.316814151748712e-003	1.795516e+000	8.977582e-001	1.436413e+000
9.366814151748712e-003	1.448707e+000	7.243536e-001	1.158966e+000
9.416814151748712e-003	9.739621e-001	4.869810e-001	7.791696e-001
9.466814151748711e-003	4.038788e-001	2.019394e-001	3.231030e-001
9.516814151748711e-003	-2.057389e-001	-1.028695e-001	-1.645912e-001
9.566814151748711e-003	-7.952175e-001	-3.976088e-001	-6.361740e-001
9.616814151748710e-003	-1.306855e+000	-6.534274e-001	-1.045484e+000
9.666814151748710e-003	-1.703168e+000	-8.515841e-001	-1.362535e+000
9.702514669316036e-003	-1.900402e+000	-9.502012e-001	-1.520322e+000
9.719456119345805e-003	-1.957675e+000	-9.788373e-001	-1.566140e+000
9.736553933213670e-003	-1.984987e+000	-9.924935e-001	-1.587990e+000
9.759992299539779e-003	-1.986250e+000	-9.931249e-001	-1.589000e+000
9.781266522690872e-003	-1.947434e+000	-9.737169e-001	-1.557947e+000
9.815785736822329e-003	-1.801007e+000	-9.005036e-001	-1.440806e+000
9.865785736822329e-003	-1.457121e+000	-7.285607e-001	-1.165697e+000
9.915785736822329e-003	-9.848657e-001	-4.924328e-001	-7.878925e-001
9.965785736822328e-003	-4.184051e-001	-2.092026e-001	-3.347241e-001
1.000000000000000e-002	0.000000e+000	0.000000e+000	-3.918740e-015
